Day,Hour,HeatProduced,ElectricityProduced,Cost,PrimaryEnergyConsumed,CO2Produced
21,10,0,0,0,0,0
21,11,0,0,0,0,0
21,12,0,0,0,0,0
21,13,0,0,0,0,0
21,14,0,0,0,0,0
21,15,0,0,0,0,0
21,16,0,0,0,0,0
21,17,0,0,0,0,0
21,18,0,0,0,0,0
21,19,0,2,6,186,23800000000028,4,679999876022339,1690
21,20,0,2,6,546,3900000000003,4,679999876022339,1690
21,21,0,2,6,40,76800000000003,4,679999876022339,1690
21,22,0,0,0,0,0
21,23,0,0,0,0,0
22,0,0,0,0,0,0
22,1,0,0,0,0,0
22,2,0,0,0,0,0
22,3,0,0,0,0,0
22,4,0,0,0,0,0
22,5,0,0,0,0,0
22,6,0,0,0,0,0
22,7,0,0,0,0,0
22,8,0,0,0,0,0
22,9,0,0,0,0,0
22,10,0,0,0,0,0
22,11,0,0,0,0,0
22,12,0,0,0,0,0
22,13,0,0,0,0,0
22,14,0,0,0,0,0
22,15,0,0,0,0,0
22,16,0,0,0,0,0
22,17,0,0,0,0,0
22,18,0,0,0,0,0
22,19,0,0,0,0,0
22,20,0,2,6,138,45000000000027,4,679999876022339,1690
22,21,0,0,0,0,0
22,22,0,0,0,0,0
22,23,0,0,0,0,0
23,0,0,0,0,0,0
23,1,0,0,0,0,0
23,2,0,0,0,0,0
23,3,0,0,0,0,0
23,4,0,0,0,0,0
23,5,0,0,0,0,0
23,6,0,0,0,0,0
23,7,0,0,0,0,0
23,8,0,0,0,0,0
23,9,0,0,0,0,0
23,10,0,0,0,0,0
23,11,0,0,0,0,0
23,12,0,0,0,0,0
23,13,0,0,0,0,0
23,14,0,0,0,0,0
23,15,0,0,0,0,0
23,16,0,0,0,0,0
23,17,0,0,0,0,0
23,18,0,0,0,0,0
23,19,0,0,0,0,0
23,20,0,0,0,0,0
23,21,0,2,6,114,8680000000004,4,679999876022339,1690
23,22,0,0,0,0,0
23,23,0,0,0,0,0
24,0,0,0,0,0,0
24,1,0,0,0,0,0
24,2,0,0,0,0,0
24,3,0,0,0,0,0
24,4,0,0,0,0,0
24,5,0,0,0,0,0
24,6,0,0,0,0,0
24,7,0,0,0,0,0
24,8,0,0,0,0,0
24,9,0,0,0,0,0
24,10,0,0,0,0,0
24,11,0,0,0,0,0
24,12,0,0,0,0,0
24,13,0,0,0,0,0
24,14,0,0,0,0,0
24,15,0,0,0,0,0
24,16,0,0,0,0,0
24,17,0,0,0,0,0
24,18,0,0,0,0,0
24,19,0,2,6,159,7180000000003,4,679999876022339,1690
24,20,0,2,6,154,4400000000005,4,679999876022339,1690
24,21,0,0,0,0,0
24,22,0,0,0,0,0
24,23,0,0,0,0,0
